emote_name,text_description_conditional,text_description_unconditional
HYPERNODDERS,an emote showing a red and blue hat with a red dragon on it,there is a red and blue hat with a red dragon on it
HYPERPOGGER,an emote showing his tongue and mouth wide open,a green frog with a big smile on its face
ICANT,an emote showing a knife and a pumpkin with a green background,a close up of a person holding a knife in front of a pumpkin
ItalianHands,an emote showing a hand holding a toothbrush in a black and white photo,someone is holding a small flower in their hand
ITOLDHASAN,an emote showing a diamond ring with a diamond in it,someone is holding a toothbrush in their hand and looking at it
ITSCOMING,an emote showing his teeth while sitting on a toilet,cartoon frog sitting on a toilet with a toothbrush in its mouth
ItsNotJune,an emote showing a dog with a sad look on his face,there is a white dog with a black nose and a brown nose
ITWONTCOMEOUT,an emote showing a frog sitting on a toilet with a blue stream,a close up of a cartoon frog sitting on a toilet
Jamgie,an emote showing his muscles and a sad expression,a cartoon frog with a blue shirt and a blue shirt
Jammies,an emote showing a skeleton with a green hat and a bone,a close up of a pixel figure with a skeleton in the background
Jigglin,an emote showing a cat reaching up to catch a frisbee,there is a cat that is reaching up to catch a frisbee
Joever,an emote showing a man in a suit and tie looking down,arafed image of a man in a suit and tie looking down
julyFirst,an emote showing a rainbow colored face with a black background,a cartoon frog with a rainbow colored face and a blue shirt
Jupijej,an emote showing a witch hat and a smiley face,a yellow smiley face wearing a black hat and a purple flower
KAMALUL,an emote showing a woman with a big smile on her face,smiling woman with brown hair and white teeth wearing a black shirt
kayaLay,an emote showing a dog laying down with a cat on its back,araffe dog laying down with a toy in its mouth
kayaP,an emote showing a dog with a blue collar around its neck,a close up of a dog with a blue collar on
kayaPeekaboo,an emote showing a man with a beard and a mustache,there is a man that is standing in front of a table
kayaPlace,an emote showing a dog sitting on a bed with a green blanket,there is a dog that is sitting next to a green blanket
kayaPls,an emote showing a dog with a bone in its mouth,a brown dog with a pink shirt and a black nose
kayaStare,an emote showing a dog with a sad look on its face,a close up of a dog with a person holding it
KAYAYA,an emote showing a cartoon dog with a pumpkin on its head,a close up of a cartoon dog with a pumpkin on its head
KEKWS,an emote showing a man with a mustache and a moustache,a close up of a man with a mustache and a moustache
kendrickPls,an emote showing off his face with a mask on,arafed man in a black shirt and a gray jacket and a black mask
Kirby,an emote showing a green and yellow character,a green and yellow nintendo mario bros character with big eyes
Kissahomie,an emote showing off his face mask in a store,there is a man wearing a mask and a jacket in a store
KKool,an emote showing a man wearing sunglasses and a hat,a close up of a man wearing sunglasses and a hat
LastTimeChatter,an emote showing the message permanently banned on a purple background,a close up of a purple and black text on a purple background
Latege,an emote showing a sad face with a blue shirt,a cartoon frog with a blue shirt and a brown mustache
lebronJAM,an emote showing a man holding a banana in his right hand,there is a man that is holding a banana in his hand
LEFTERS,an emote showing a very funny face with a military uniform,a cartoon image of a soldier with a medal and a star
LETSGO,an emote showing his teeth and a big grin,a close up of a cartoon character with a big mouth
LFGO,an emote showing a yellow bag with a red mouth,a close up of a yellow object with a red tooth
LIBBERS,an emote showing his tongue and wearing a hat,a cartoon character with a hat and a blue shirt
Life,an emote showing a picture of a sunset over the ocean,sunset over the ocean with a green hat on
Lmao,an emote showing a picture of a woman with headphones on,there is a woman with headphones on smiling and wearing a white shirt
LOCKIN,an emote showing a man with headphones on his head,anime image of a man with headphones on looking at something
LookDown,an emote showing two eyes and a nose,a cartoon frog with two eyes and a nose
Looking,an emote showing his sad face with a sad expression,a cartoon frog with a blue shirt and a green hat
LookUp,an emote showing his sad face with a sad expression,a cartoon frog with a sad face and a blue shirt
LosPeepos,an emote showing a mexican frog with a sombre hat,a cartoon frog wearing a sombre hat and a blue shirt
LUBBERS,an emote showing a heart on his head,a cartoon frog with a heart on its head
ludwigDance,an emote showing a man in a red shirt and blue cap,arafed man in a red shirt and blue cap is standing on a skateboard
LULA,an emote showing a man with a beard and a smile,arafed man with a beard and a smile on his face
lulWut,an emote showing a sad face with a toothbrush in his mouth,a cartoon frog with a cell phone in his hand
MAAAAN,an emote showing his teeth and hands on a cell phone,a close up of a yellow smiley face with a cell phone in it's mouth
Majj,an emote showing a sad face with a blue shirt,a green and blue cartoon character with a sad face
MakeItStop,an emote showing a cat with a camera in its hand,there is a cat that is sitting on a table with a remote control
MALARKEY,an emote showing a man with a pair of scissors in his mouth,arafed man with a microphone and a tie with a red light coming out of his mouth
mandelaDance,an emote showing a man in a suit and tie,a cartoon of a man in a suit and tie giving a speech
Meow,an emote showing a cat with blue eyes and a white nose,there is a cat that is looking at the camera
MISINFO,an emote showing a blue face with a white hand,a blue bird with a white beak and a yellow arrow
miyanoHype,an emote showing a very cute face with a hat on,a close up of a cartoon character wearing a hat
MLADY,an emote showing a hat and mustache with a sad face,a cartoon frog wearing a hat and a mustache
MmmHmm,an emote showing a sad frog with a strawberry on his head,a close up of a cartoon frog with a strawberry on the back
modCheck,an emote showing a sad face with a sign in front of him,a cartoon image of a ghost with a sign that says pep
MODS,an emote showing a monkey holding a piece of wood,a close up of a statue of a monkey holding a piece of wood
ModTime,an emote showing a bucket with a wooden handle and a pair of chopsticks,a close up of a bucket with a wooden handle and a pair of chopsticks
monkaSTEER,an emote showing his driving skills while driving a car,a cartoon frog driving a car with a steering wheel
MonsterTime,an emote showing a can of monster energy with a pixel effect,monster energy drink can with a pixel effect
MrBroccoli,an emote showing a man with a microphone and a purple light,arafed image of a man in a black shirt and a microphone
MufasaPls,an emote showing a man running with a tennis racket,arafed image of a man running with a tennis racket
mugshotofDonaldtrump,an emote showing a man with a very large nose and a very long hair,a close up of a man with a very big haircut
muratRizz,an emote showing a man with a very short haircut,a close up of a man in a suit and tie looking at a cell phone
muratStare,an emote showing a man sitting in front of a microphone,arafed man with a beard sitting in front of a microphone
NAILSING,an emote showing a man a toothbrush and a toothbrush,a close up of a person pointing at a pixelated orange monster
Naoo,an emote showing a sad face with a green and blue shirt,cartoon image of a green and blue frog with a sad face
neffHyperJAM,an emote showing a man with a red hair and a beard,there is a man with a beard and a beardless face playing a video game
NERD,an emote showing thumbs up with glasses on,a close up of a yellow smiley face with glasses on
NESSIE,an emote showing a green and white object with a black background,a close up of a stuffed animal with a tennis ball in its mouth
NOBOOBA,an emote showing his tongue and a tie,a close up of a cartoon frog with a tie on
NODDERS,an emote showing a red devil face with horns and a black background,a close up of a red devil face with horns on it
Nono,an emote showing a cat's face with a black background,there is a cat that is looking up at the camera
NONONO,an emote showing a man with headphones on smiling,smiling man wearing headphones and glasses with a black background
NOOO,an emote showing a very angry face with a lot of hands,a close up of a yellow emoticor with a surprised expression
NOPERS,an emote showing a red devil face with horns and a black background,a close up of a red devil face with horns and a black background
NOSHOT,an emote showing a skeleton sitting in a chair with a cup of coffee,arafed skeleton sitting in a chair in front of a window
notALOO,an emote showing a pink bow and holding a cell phone,a cartoon frog with a pink bow holding a cell phone
NOTED,an emote showing a girl with a pencil and a book,anime girl with red eyes holding a pencil and a book
NoThanks,an emote showing a sad face with his hands up,a cartoon frog with a blue shirt and a blue shirt
NOWAYING,an emote showing off his new haircut in a mirror,there is a man that is taking a selfie in a mirror
nymnCorn,an emote showing a bucket of fries and a can of soda,a close up of a pixel style picture of a bucket of fries
Ohhh,an emote showing his eyes and arms with his hands on his chest,a yellow emotictor with two eyes and arms crossed
OKAY,an emote showing a thumbs up with a green frog on it,a green frog with a thumbs up and a red ribbon
OkayChamp,an emote showing a man with a toothbrush in his mouth,smiling man with a toothbrush in his mouth and a tooth brush in his mouth
Okayge,an emote showing a big smile on his face,a close up of a cartoon fish with a blue shirt
Okayyy,an emote showing a smile with a red box in the background,a close up of a smiley face with a red box in the background
OOOO,an emote showing off his headphones while speaking into a microphone,arafed man with a microphone and a microphone in his hand
OuttaPocket,an emote showing a man with a beard and a tie on,arafed man with a beard and a tie on his head
PagChomp,an emote showing a clown with a toothbrush in his mouth,clown with a toothbrush in his mouth and a toothbrush in his mouth
PainsChamp,an emote showing a man with blood on his face,a close up of a person with a face covered in blood
PauseChamp,an emote showing a creepy face with a knife in his hand,arafed image of a person with a bloody face and a knife
PAUSERS,an emote showing a sad face with a red line,a green frog with a red line in the middle of it's face
peepoBaba,an emote showing a sad face with a beard and a white hat,a close up of a cartoon frog with a beard and a white shirt
PeepoBlush,an emote showing a pumpkin with a face and a nose,a cartoon image of a pumpkin with a face and eyes
peepoBye,an emote showing his hand up with a sad expression,pep the frog waving his arms in the air
peepoChat,an emote showing a computer keyboard and a hat,a close up of a cartoon frog with a keyboard and mouse
peepoCheer,an emote showing a sad face with a green frog on it,a close up of a green frog with a sad face
peepoClap,an emote showing a very cute green frog with a hat and a pipe,a cartoon frog with a hat and a cigarette in his mouth
peepoCoffee,an emote showing a thumbs up with a blue jacket,pep the frog with a blue jacket and a cup of coffee
peepoD,an emote showing a sad frog with a sad look,pep the frog is looking at the camera with a sad look
peepoDab,an emote showing a sad face with a blue shirt,pep the frog is sitting down and looking at the camera
peepoExcite,an emote showing a sad face with a sad expression,a green frog with a sad face and a sad expression
peepoEyeroll,an emote showing a sad face with a blue shirt,a close up of a cartoon frog with a sad look on his face
peepoFlute,an emote showing a green frog playing a flute,a cartoon frog playing a flute with music notes around it
peepoGiggles,an emote showing a halo and a sad pep the frog,a close up of a cartoon frog with a halo on his head
peepoHehe,an emote showing a sad face with a phone in his hand,a cartoon frog with a phone in his hand
peepoHey,an emote showing a thumbs up with a witch hat on,a cartoon frog wearing a witch hat waving
peepoPog,an emote showing a face with a crown on it,a close up of a cartoon character with a surprised look
peepoPogO,an emote showing a face with blood on it,a close up of a face with blood on it
peepoPopcorn,an emote showing a pumpkin with a candy in it,a cartoon image of a white ghost with a candy in a pumpkin
peepoRiot,an emote showing a group of green frogs with flames in the background,there are many green and brown frogs with orange eyes
peepoRun,an emote showing a red devil running with horns on his head,cartoon red devil running with horns and horns on his head
peepoSettle,an emote showing a sign that says harris,a close up of a cartoon frog holding a sign with a message
peepoShy,an emote showing a frog with a pumpkin on its head,a close up of a cartoon frog with a pumpkin on its head
peepoSwing,an emote showing his tongue while sitting on a swing,a cartoon frog sitting on a swing with a blue shirt
peepoT,an emote showing a thumbs up while sitting on a toilet,a close up of a cartoon frog sitting on a toilet
peepoTrans,an emote showing a heart with a frog holding it,a cartoon frog holding a heart with a pink and white stripe
PeepoWeen,an emote showing a pumpkin with a face and arms,a close up of a cartoon frog with a pumpkin on it
PELUSSY,an emote showing a woman with a red light on her face,a woman with a red light on her face and a red light on her chest
PensiveWobble,an emote showing a sad face with eyes closed,a yellow emotictor with a sad face
pepeCD,an emote showing a pixel face with a hat and a mustache,there is a pixel image of a man with a hat and a beard
pepeD,an emote showing a green monster with a red nose,pixel art of a green monster with a red nose and a black shirt
pepegeHmm,an emote showing a sad face with a hand on his chin,a cartoon frog with a sad face and hands clasped
pepeJAM,an emote showing his teeth and a hat on,a cartoon image of a green frog with a hat and a blue shirt
pepeLaugh,an emote showing a sad face with a sad expression,a cartoon frog with a sad face and a yellow mustache
pepeMeltdown,an emote showing a cartoon ship with a red and white stripe,a pixel art of a ship with a red and white flag
pepeP,an emote showing a very angry looking red bull with a yellow tube,a close up of a cartoon character holding a hot dog
PepePoor,an emote showing a pair of scissors and a pair of green pants,there is a green pair of scissors on a table
pepeSmoke,an emote showing a green frog with a cigarette in its mouth,a close up of a pixel pixel style image of a frog smoking a cigarette
pepeSpit,an emote showing a sad face with a blue shirt,a cartoon frog with a sad face and a blue shirt
pepeWoah,an emote showing his finger to his mouth while looking at a computer screen,a cartoon frog with a surprised look on his face
pepoJS,an emote showing a sad face with a blue shirt,a cartoon frog with a sad face and a blue shirt
PETTHEMODS,an emote showing a hand with a green sign and a white arrow,someone is holding a green sign with a white arrow pointing to the left
PianoTime,an emote showing a pixelly generated image of a person on a skateboard,a close up of a pixel pixel art of a person on a skateboard
Pivo,an emote showing a beer bottle and a smiley face,a close up of a bottle of beer with a smiley face
plinK182,an emote showing a cat with a weird face and a weird haircut,there is a cat with a black and white picture of it's face
PogO,an emote showing a man with blood on his face,a close up of a person with blood on their eyes
PogU,an emote showing a green face with a crown on it,a close up of a person with a green face and a green headdress
pokiBop,an emote showing a peace sign with a cat on her lap,arafed girl with long hair pointing at her finger
pokiEars,an emote showing a picture of a woman wearing a cat hat,arafed woman wearing a white cat hat and smiling
pokiShuffle,an emote showing a man with long hair and a beard,arafed image of a man with long hair and a beard
POOTERS,an emote showing a green stool with a blue top,cartoon of a green stool with a blue top and a blue top
popCat,an emote showing a dog's mouth with its tongue open,a close up of a dog with its mouth open and tongue out
poroPls,an emote showing a white sheep with a black nose,a close up of a white sheep with a black background
ppHop,an emote showing a green frog with a red nose,a close up of a pixel pixel art of a green frog
ppJAM,an emote showing a green hat and a blue shirt,pixel art of a cartoon orange with a green top
ppOverheat,an emote showing a red and purple object on a black background,a close up of a pixel pixel style image of a person
ppPoof,an emote showing a green frog with a red nose,a green frog with a red nose and a blue body
ppWalk,an emote showing a smile and a toothbrush in his hand,a close up of a yellow ball with a toothbrush in its hand
PRAYGE,an emote showing a sad frog with a crown on his head,a cartoon frog with a crown on its head and a sword
Prayy,an emote showing a face with a surprised expression,a close up of a yellow ball with a surprised face
pumpkincatRun,an emote showing a cat in a pumpkin costume,a close up of a small animal wearing a pumpkin costume
Ragey,an emote showing a cat with a very big eyes,there is a cat with a big eyes and a white face
ratJAM,an emote showing off his pirate hat and chest,there is a cat that is wearing a pirate hat
ReallyMad,an emote showing his thumbs up with a big smile,a close up of a yellow emoticor with a black background
REEEE,an emote showing his tongue and mouth wide open,a cartoon frog with a red tongue and a big mouth
reeferSad,an emote showing a bald head and a balding face,a close up of a man in a suit and tie
RIDING,an emote showing a man on a surfboard with a hat on,a close up of a person on a surfboard with a hat on
RIPBOZO,an emote showing off his smoking skills in a suit,there is a man in a suit smoking a cigarette
robinSmile,an emote showing a woman with a very long hair,a close up of a person with a cell phone in their hand
ROFL,an emote showing a minion with a movie camera and a movie clap,minions movie character with sunglasses and a movie clap
Sadgay,an emote showing a sad face with a rainbow background,a cartoon frog with a rainbow colored face and a brown mustache
SAJJ,an emote showing a sad spongebob with a tear of sadness,spongebob with a sad face and big eyes
Salute,an emote showing a sad face with a hand on his forehead,a close up of a yellow emoticor with a hand on his forehead
Saved,an emote showing a sad face with a blue shirt,a cartoon frog with a sad face and a blue shirt
SCATTER,an emote showing a bunch of green frogs with big eyes,a close up of a bunch of green frogs with big eyes
Scrajj,an emote showing a green frog with a blue shirt,cartoon frog with blue shirt and green head
SEXO,an emote showing a man with a beard and a blue pants,a close up of a person with a yellow hat on
SHISHISHI,an emote showing a smile with a big hat on,a close up of a person with a hat on and a smile on
Shitti,an emote showing a green frog with a blue shirt,a green frog with a blue shirt and a red nose
SHIVERMETIMBERS,an emote showing a dog's face with a blurry background,there is a dog that is looking at the camera
Shrug,an emote showing thumbs up with a computer in the background,a close up of a yellow smiley face with a laptop
Sitti,an emote showing a frog with a blue shirt and a red and white stripe,a green frog sitting on top of a stack of books
Skateparkge,an emote showing a frog with a skateboard in front of him,cartoon frog with a skateboard in front of him
Slayyy,"an emote showing a sign that says, i'm not a good person",a cartoon character with a sticker on his face and arms
SLUDGE,an emote showing a sad face with a sad expression,a green frog with a sad face and a sad expression
Smadge,an emote showing a sad frog with a sad face,a cartoon frog with a sad face and a sad expression
smHead,an emote showing his sad face with a blue shirt,a cartoon frog with a blue shirt and a blue shirt
SmokeTime,an emote showing a glass of wine and a cigarette,a close up of a pixel style picture of a glass of wine
SNIFFA,an emote showing a dog's nose with a blurry background,there is a dog that is looking at the camera
SOCIALCREDIT,an emote showing a man with a black shirt and tie,arafed image of a man in a black shirt and tie
soCute,an emote showing a sad frog with a yellow shirt,a cartoon frog with a green hat and yellow shirt
soupD,an emote showing a glowing face on a pumpkin,there is a red pumpkin with a lit face on it
spongePls,an emote showing a spongebob with a red hat and a brown skirt,spongebob in a black background with a black background
SPRAYS,an emote showing a man with a gun in his hand,a close up of a person holding a nintendo wii controller
Stare,an emote showing a sad face with a green shirt,a cartoon frog with a sad face and a blue shirt
Starjj,an emote showing a green face with a blue shirt,a cartoon frog with a blue shirt and a green face
stopbeingMean,an emote showing a sad face with a book in his hand,a cartoon frog with a blue shirt and a brown tie
Strippp,an emote showing a cartoon character with a baseball cap on,a cartoon character with a red hat and a baseball cap
Strongge,an emote showing a sad frog with eyes and a sad expression,a cartoon frog with two eyes and a sad expression on its face
SurE,an emote showing a sad frog with a pencil in his mouth,pep the frog with a green hat and a pink bow
Susge,an emote showing a sad face with a blue shirt,a cartoon frog with a sad face and a blue shirt
SUSS,an emote showing a sad face with a frown on it,a close up of a yellow smiley face with a frown
Sussy,an emote showing a pumpkin with a green leaf on top,a close up of a pumpkin with a green leaf on top
System,an emote showing a man with a tie and a cell phone,there is a man that is looking at a cell phone
TAAA,an emote showing a cigarette in his mouth and a green alien face,a close up of a cartoon character with a cigarette in his mouth
TAPTHEGLASS,an emote showing off his braces and braces while holding a toothbrush,there is a cartoon character with braces and a toothbrush in his mouth
Tastge,an emote showing a sad face with a blue shirt,cartoon frog with a blue shirt and a blue shirt
TeaTime,an emote showing a cup of coffee with a spoon in it,a close up of a cup of coffee with a steam coming out of it
ThinGreenLine,an emote showing a green arrow on a black and white striped background,there is a green arrow on a black and white striped flag
Thinkge,an emote showing a thumbs up with a green frog on it,a close up of a cartoon frog with a finger on his lips
Timeout,an emote showing a sad face in a jar,a yellow smiley face in a glass jar with a black background
TomatoTime,an emote showing a tomato on a scale with a black background,a close up of a computer screen with a tomato on it
topHasan,an emote showing a man with a hammer and sick face,a close up of a man in a uniform with a hammer and sickle
TOPXI,an emote showing a man in a suit and tie with a hammer and sickle,arafed image of a man in a suit and tie with a hammer and sickle
Transge,an emote showing a computer screen with a smiling face,a close up of a cartoon fish with a computer on a desk
TransGlitter,an emote showing a pink and blue flag with a white stripe,a blue and pink flag with a white stripe on it
transplinK,an emote showing a cat with a flag on it's face,there is a cat with a pink and white striped face
TrollDespair,an emote showing a black and white image of a man's face,a black and white photo of a man with a face painted on it
Tssk,an emote showing a hand with a finger up,a close up of a person's hand with a finger up
TTrump,an emote showing a man with blonde hair and a smile,a close up of a person with a smile on their face
Tuckk,an emote showing a frog and a frog with a flag,a close up of two frogs with a red and blue shirt
Tuurk,an emote showing a cigarette in his mouth and a mustache on his head,a cartoon image of a man with a mustache and a cigarette
UGHH,an emote showing a very angry expression while sitting on a table,cartoon image of a green frog with a blue shirt and blue pants
Uuhh,an emote showing a cat with a fake mustache and big eyes,there is a cat with a fake mustache on its head
veryCat,an emote showing off his cat's face with a red and blue ball,araffe with a red and blue ball in its mouth
VIBE,an emote showing a large brown dog with a black background,there is a brown teddy bear sitting on a black background
Vibee,an emote showing a frog with a blue shirt and a green frog,cartoon frog with arms up in the air
Waiting,an emote showing a clock with a bird on it,a close up of a clock with a white face and a black hands
WALKINg,an emote showing a man with glasses and a microphone,a close up of a person holding a microphone in front of a microphone
WAYTOODANK,an emote showing a man with a beard and a mustache,there is a man that is standing in the dark with a cell phone
WeirdChamp,an emote showing a clown's face with a red nose,a close up of a person wearing a clown mask with a red nose
weWaiting,an emote showing a group of people with a face drawn on them,a close up of a group of white and black cartoon characters
WhatChamp,an emote showing a man with a toothbrush in his mouth,arafed man with a toothbrush in his mouth and a green background
WideKaya,an emote showing a dog with a red scarf around its neck,there is a dog that is wearing a red scarf
WineTime,an emote showing a green cup with a green liquid inside,a close up of a pixel cup with a green liquid inside
woeisMe,an emote showing a thumbs up with a computer screen in the background,a close up of a yellow emoticor with a computer screen in the background
Wokege,an emote showing a sad frog with a hat on,a cartoon frog with a hat on sitting on a pink surface
WOOW,an emote showing a surprised face with a black nose,a yellow smiley face with black eyes and a black nose
WRUG,an emote showing a woman with a hat and a red lipstick,a cartoon image of a woman with a hat and a red lipstick
Wuhh,an emote showing a green and orange striped tank with a question mark,there is a green and orange tank with a question mark on it
wUNC,an emote showing a man something to the camera while sitting at a table,there are two men sitting at a table with a plate of food
YAPPING,an emote showing a man with a bald head and a white shirt,arafed man in white shirt with black background and black background
Yesyes,an emote showing a cat's face with a white shirt,there is a cat that is smiling and looking at the camera
YOUCANT,an emote showing his teeth and eyes are full of teeth,cartoon of a green frog with a red nose and a white teeth
Yowhatup,an emote showing a toy man with a hat and a camera,toy story characters are posed in a photo with a toy
ZZoomer,an emote showing a man with glasses and a haircut,a cartoon image of a man with glasses and a mohawk
